Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Raspberry Pi Pico 2 W","RaspberryPi_Pico_Common_Unspecified",98.570000,-111.890000,90.000000,top
"C1","0.1μF","C_Disc_D3.0mm_W1.6mm_P2.50mm",218.900000,-109.500000,90.000000,top
"C2","0.1μF","C_Disc_D3.0mm_W1.6mm_P2.50mm",186.900000,-120.500000,90.000000,top
"C3","0.1μF","C_Disc_D3.0mm_W1.6mm_P2.50mm",186.900000,-109.500000,90.000000,top
"C4","0.1μF","C_Disc_D3.0mm_W1.6mm_P2.50mm",102.420000,-134.000000,90.000000,top
"C5","0.1μF","C_Disc_D3.0mm_W1.6mm_P2.50mm",218.900000,-120.500000,90.000000,top
"R1","10kΩ","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",137.690000,-107.000000,0.000000,top
"SW1","Reset","SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243",144.750000,-103.500000,180.000000,top
"U1","74LVC245A","DIP-20_W7.62mm",214.320000,-101.880000,-90.000000,top
"U2","74LVC245A","DIP-20_W7.62mm",182.320000,-113.000000,-90.000000,top
"U3","74HC14","DIP-14_W7.62mm",98.000000,-126.500000,-90.000000,top
"U4","74LVC245A","DIP-20_W7.62mm",182.320000,-101.880000,-90.000000,top
"U5","74LVC245A","DIP-20_W7.62mm",214.320000,-113.000000,-90.000000,top
